Track circuit,Description,ID,State,Last locked for Route,Status
T83,T83: Paths = P78 P373 P372 P79,138DG,CLEAR,,Normal
T84,T84: Paths = P374 P231 P375 P13,140DG,CLEAR,,Normal
T85,T85: Paths = P441 P219 P220 P228 P440 P226 P80 P227 P442 P288 P81 P287 P443 P289 P198 P286 P200,80-114DG,CLEAR,,Normal
T86,T86: Paths = P377 P5 P201 P457 P290 P199,76-78DG,CLEAR,,Normal
T87,T87: Paths = P378 P282 P283 P202 P291 P285 P284 P203 P446,22-74DG,CLEAR,,Normal
T88,T88: Paths = P252 P366 P253 P381 P380 P254,64-98DG,CLEAR,,Normal
T89,T89: Paths = P255,38/98G,CLEAR,,Normal
T90,T90: Paths = P434 P209 P176 P204 P210 P216 P215 P218 P213 P432 P214 P217 P433 P208 P205,18-70DG,CLEAR,,Normal
T91,T91: Paths = P362 P470,18/1G,CLEAR,,Normal
T92,T92: Paths = P365 P206 P207 P419,40DG,CLEAR,,Normal
T93,T93: Paths = P363,40/5G,CLEAR,,Normal
T94,T94: Paths = P364 P445 P256 P257 P265 P386 P266 P384,36-38DG,CLEAR,,Normal
T95,T95: Paths = P385 P264 P263,D22G,CLEAR,,Normal
T96,T96: Paths = P250 P471 P367 P251,136DG,CLEAR,,Normal
T97,T97: Paths = P371 P195 P194 P368,96DG,CLEAR,,Normal
T98,T98: Paths = P355 P125 P123 P122,128DG,CLEAR,,Normal
T100,T100: Paths = P82 P447 P211 P435 P83 P212,44-54DG,CLEAR,,Normal
T99,T99: Paths = P472 P354 P121,42DG,CLEAR,,Normal
T101,T101: Paths = P388 P259 P389,5DG-side,CLEAR,,Normal
T102,T102: Paths = P387 P260 P258,3DG-side,CLEAR,,Normal
