Track circuit,Description,ID,State,Last locked for Route
TC1112,TC1112: Paths = P3466 P3443 P3268 P3468 P3604,null,CLEAR,
TC1113,TC1113: Paths = P3469,null,CLEAR,
TC1114,TC1114: Paths = P3648,null,CLEAR,
TC1115,TC1115: Paths = P3473 P3476 P3475 P3277 P3276 P3275 P3429 P3428 P3612,null,CLEAR,
TC1116,TC1116: Paths = P3479 P3477 P3488 P3489 P3486 P3635 P3636 P3283 P3285 P3286 P3289 P3494 P3495 P3490,null,CLEAR,
TC1117,TC1117: Paths = P3483 P3487 P3619 P3615 P3622,null,CLEAR,
TC1118,TC1118: Paths = P3623,null,CLEAR,
TC1119,TC1119: Paths = P3633 P3634 P3284 P3287 P3288 P3620,null,CLEAR,
TC1120,TC1120: Paths = P3491 P3291 P3492 P3493 P3293 P3294 P3296 P3506 P3507 P3299 P3502,null,CLEAR,
TC1121,TC1121: Paths = P3496 P3292 P3499 P3498 P3290 P3621,null,CLEAR,
TC1122,TC1122: Paths = P3497 P3500 P3501 P3295 P3297 P3298 P3510 P3511 P3300 P3302 P3508,null,CLEAR,
TC1123,TC1123: Paths = P3503 P3301 P3504 P3505 P3303 P3304 P3305 P3308 P3309 P3516 P3517 P3313 P3514,null,CLEAR,
TC1124,TC1124: Paths = P3509 P3512 P3513 P3306 P3307 P3310 P3311 P3312 P3522 P3523 P3314 P3520,null,CLEAR,
TC1125,TC1125: Paths = P3515 P3315 P3518 P3519 P3316 P3318 P3320 P3322 P3324 P3530 P3531 P3526,null,CLEAR,
TC1126,TC1126: Paths = P3521 P3317 P3524 P3525 P3319 P3321 P3323 P3325 P3534 P3535 P3528,null,CLEAR,
TC1127,TC1127: Paths = P3527 P3536 P3537 P3326 P3328 P3329 P3332 P3334 P3336 P3541 P3542 P3538,null,CLEAR,
TC1128,TC1128: Paths = P3529 P3327 P3532 P3533 P3330 P3331 P3333 P3335 P3337 P3544 P3545 P3338 P3339 P3543,null,CLEAR,
TC1129,TC1129: Paths = P3539 P3640 P3641 P3547 P3540 P3549 P3644 P3645 P3340 P3341 P3343 P3345 P3347 P3559 P3560 P3349 P3553,null,CLEAR,
TC1130,TC1130: Paths = P3642 P3643 P3548 P3550 P3646 P3647 P3546 P3342 P3344 P3346 P3348 P3555 P3556 P3551,null,CLEAR,
TC1131,TC1131: Paths = P3552 P3350 P3561 P3562 P3353 P3354 P3356 P3567 P3568 P3359 P3563,null,CLEAR,
TC1132,TC1132: Paths = P3554 P3557 P3558 P3351 P3352 P3355 P3357 P3358 P3571 P3572 P3565,null,CLEAR,
TC1133,TC1133: Paths = P3564 P3573 P3574 P3361 P3362 P3365 P3582 P3583 P3368 P3575,null,CLEAR,
TC1134,TC1134: Paths = P3566 P3360 P3569 P3570 P3363 P3364 P3366 P3367 P3577 P3369 P3584 P3585 P3578,null,CLEAR,
TC1135,TC1135: Paths = P3576 P3370 P3586 P3587 P3372 P3373 P3374 P3590 P3591 P3588,null,CLEAR,
TC1136,TC1136: Paths = P3579 P3371 P3580 P3581 P3375 P3376 P3377 P3380 P3594 P3595,null,CLEAR,
TC1137,TC1137: Paths = P3601 P3418 P3602,null,CLEAR,
TC1138,TC1138: Paths = P3660 P3661 P3665 P3666,null,CLEAR,
TC1139,TC1139: Paths = P3678 P3677 P3675 P3674 P3981 P6277 P6298,null,CLEAR,
TC1140,TC1140: Paths = P3680 P3681 P3684 P3685 P3687 P3689 P3691 P3694 P3695 P3697 P3700 P3703 P3706 P3707 P3710 P3712 P3715 P3716 P3717 P4009 P4010,null,CLEAR,
TC1141,TC1141: Paths = P3708 P4015 P4016 P3723,null,CLEAR,
TC1142,TC1142: Paths = P3719 P3718 P3714 P3713 P3711 P3709 P3705 P3704 P3702 P3701 P3699 P3698 P3696 P3693 P3692 P3690 P3688 P3686 P3683 P3682 P3679 P3676 P3673 P3980 P6276 P6295,null,CLEAR,
TC1143,TC1143: Paths = P3720 P3721 P3722,null,CLEAR,
TC1144,TC1144: Paths = P3724 P3725 P3727 P3728,null,CLEAR,
TC1145,TC1145: Paths = P3984 P4007 P4008 P3726 P3729 P3732 P3733 P3736 P3738 P3740 P3742 P3743 P3748 P3751 P3753 P3755 P3756 P3761 P3763 P3765 P3766 P3759 P3771 P3775 P3777 P3779 P3999 P4000 P3774 P4003 P4004 P3781 P3769 P3783 P3785 P3787 P3789 P3790 P3793 P3795 P3797 P3799 P3800 P3803 P3805 P3807 P3809 P3810 P3816 P3817 P3819 P3820 P3822 P3824 P3825 P3815 P3838 P3840 P3843 P3844 P3847 P3989 P3990,null,CLEAR,
TC1146,TC1146: Paths = P3730 P3731 P3734 P3735 P3737 P3739 P3741 P3744 P3746 P3747 P3745,null,CLEAR,
TC1147,TC1147: Paths = P3749 P3750 P3752 P3754 P3757 P3758 P3762 P3764 P3767 P3768 P3760 P3772 P3776 P3778 P3780 P4001 P4002 P3773 P4005 P4006 P3782 P3770 P3784 P3786 P3788 P3791 P3792 P3794 P3796 P3798 P3801 P3802 P3804 P3806 P3808 P3811 P3812 P3813 P3985 P3986,null,CLEAR,
TC1148,TC1148: Paths = P3987 P3988 P3818 P3821 P4011 P4012,null,CLEAR,
TC1149,TC1149: Paths = P3814 P3879,null,CLEAR,
TC1150,TC1150: Paths = P3823 P3826 P3827 P3839 P3841 P3842 P3845 P3846 P3848 P3849 P3829,null,CLEAR,
TC1151,TC1151: Paths = P3994,null,CLEAR,
TC1152,TC1152: Paths = P3828 P3830,null,CLEAR,
TC1153,TC1153: Paths = P3832 P3833 P3831,null,CLEAR,
TC1154,TC1154: Paths = P3835 P3851 P3852,null,CLEAR,
TC1155,TC1155: Paths = P3834,null,CLEAR,
TC1156,TC1156: Paths = P3991 P4013 P4014 P3850 P3853 P3854 P3836 P3856 P3857 P3859 P3860 P3864 P3866 P3868 P3869 P3872 P3873 P3877 P3881 P3882 P3880 P3883 P3884 P3887 P3889 P3891 P3893 P3897 P3898 P3896,null,CLEAR,
TC1157,TC1157: Paths = P3992 P3993 P3855 P3837 P3858 P3861 P3862 P3865 P3867 P3870 P3871 P3874 P3875 P3863 P3876 P3878 P3885 P3886 P3888 P3890 P3892 P3894 P3895 P3904 P3905 P3900 P3908 P3909,null,CLEAR,
TC1158,TC1158: Paths = P3902 P3903 P4017 P4018 P3906 P3907 P3910 P3911 P3917 P3919 P3921 P3924 P3925 P3915 P3928 P3931 P3933 P3934 P3937 P3939 P3941 P3943 P3944 P3947 P3949 P3950 P3953 P3955 P3964 P3965 P3958 P3962 P3963 P3960 P3973 P3974,null,CLEAR,
TC1159,TC1159: Paths = P3899 P3901 P3912 P3913 P3918 P3920 P3922 P3923 P3926 P3927 P3914 P3916 P3929 P3930 P3932 P3935 P3936 P3938 P3940 P3942 P3945 P3946 P3948 P3951 P3952 P3954 P3956 P3957 P3959 P3961 P3967 P3968,null,CLEAR,
TC1160,TC1160: Paths = P3966 P3969 P3970 P3996 P3997,null,CLEAR,
TC1161,TC1161: Paths = P3976,null,CLEAR,
TC1162,TC1162: Paths = P3995,null,CLEAR,
TC1163,TC1163: Paths = P3983,null,CLEAR,
TC1164,TC1164: Paths = P3998,null,CLEAR,
TC1165,TC1165: Paths = P3971 P3972 P3975,null,CLEAR,
TC1166,TC1166: Paths = P3978 P3979 P3977,null,CLEAR,
TC1167,TC1167: Paths = P3982,null,CLEAR,
TC1168,TC1168: Paths = P4023 P4022 P4026,null,CLEAR,
TC1169,TC1169: Paths = P4030 P4035,null,CLEAR,
TC1170,TC1170: Paths = P4055 P4054,null,CLEAR,
TC1171,TC1171: Paths = P4024 P4025,null,CLEAR,
TC1172,TC1172: Paths = P4029 P4036,null,CLEAR,
TC1173,TC1173: Paths = P4040 P4039 P4037,null,CLEAR,
TC1174,TC1174: Paths = P4031,null,CLEAR,
TC1175,TC1175: Paths = P4033,null,CLEAR,
TC1176,TC1176: Paths = P4027 P4038,null,CLEAR,
TC1177,TC1177: Paths = P4042,null,CLEAR,
TC1178,TC1178: Paths = P4032 P4019 P4021 P4046 P4047,null,CLEAR,
TC1179,TC1179: Paths = P4034 P4028 P4050 P4051 P4053,null,CLEAR,
TC1180,TC1180: Paths = P4045 P4044 P4067 P4123,null,CLEAR,
TC1181,TC1181: Paths = P4043,null,CLEAR,
TC1182,TC1182: Paths = P4056 P4057 P4048 P4068 P4126,null,CLEAR,
TC1183,TC1183: Paths = P4041 P4149 P4150 P4112,null,CLEAR,
TC1184,TC1184: Paths = P4059 P4058,null,CLEAR,
TC1185,TC1185: Paths = P4049 P4020 P4097 P4096,null,CLEAR,
TC1186,TC1186: Paths = P4063 P4062,null,CLEAR,
TC1187,TC1187: Paths = P4052 P4061 P4060,null,CLEAR,
TC1188,TC1188: Paths = P4088 P4089 P4390,null,CLEAR,
TC1189,TC1189: Paths = P4064 P4392,null,CLEAR,
TC1190,TC1190: Paths = P4079,null,CLEAR,
TC1191,TC1191: Paths = P4391,null,CLEAR,
TC1192,TC1192: Paths = P4081,null,CLEAR,
TC1193,TC1193: Paths = P4090 P4091 P4066 P4084,null,CLEAR,
TC1194,TC1194: Paths = P4082,null,CLEAR,
TC1195,TC1195: Paths = P4093 P4092 P4065 P4080,null,CLEAR,
TC1196,TC1196: Paths = P4077 P4085,null,CLEAR,
TC1197,TC1197: Paths = P4094 P4095 P4086,null,CLEAR,
TC1198,TC1198: Paths = P4078 P4087,null,CLEAR,
TC1199,TC1199: Paths = P4393,null,CLEAR,
TC1200,TC1200: Paths = P4083 P4147 P4148 P4111,null,CLEAR,
TC1201,TC1201: Paths = P4103 P4104,null,CLEAR,
TC1202,TC1202: Paths = P4115,null,CLEAR,
TC1203,TC1203: Paths = P4183 P4379 P4378,null,CLEAR,
TC1204,TC1204: Paths = P4098,null,CLEAR,
TC1205,TC1205: Paths = P4106 P4105,null,CLEAR,
TC1206,TC1206: Paths = P4129 P4128 P4070 P4114,null,CLEAR,
TC1207,TC1207: Paths = P4100,null,CLEAR,
TC1208,TC1208: Paths = P4107 P4108,null,CLEAR,
TC1209,TC1209: Paths = P4110 P4109 P4117,null,CLEAR,
TC1210,TC1210: Paths = P4116,null,CLEAR,
TC1211,TC1211: Paths = P4131 P4132 P4072 P4158 P4159,null,CLEAR,
TC1212,TC1212: Paths = P4101 P4172,null,CLEAR,
TC1213,TC1213: Paths = P4102 P4099 P4170,null,CLEAR,
TC1214,TC1214: Paths = P4122,null,CLEAR,
TC1215,TC1215: Paths = P4124,null,CLEAR,
TC1216,TC1216: Paths = P4178 P4177 P4127,null,CLEAR,
TC1217,TC1217: Paths = P4380 P4151 P4069 P4071 P4130,null,CLEAR,
TC1218,TC1218: Paths = P4113 P4182 P4181 P4180 P4179 P4152 P4125,null,CLEAR,
TC1219,TC1219: Paths = P4171,null,CLEAR,
TC1220,TC1220: Paths = P4118 P4156 P4157 P4073 P4075 P4137,null,CLEAR,
TC1221,TC1221: Paths = P4134,null,CLEAR,
TC1222,TC1222: Paths = P4119 P4135,null,CLEAR,
TC1223,TC1223: Paths = P4138,null,CLEAR,
TC1224,TC1224: Paths = P4160 P4161 P4143,null,CLEAR,
TC1225,TC1225: Paths = P4139,null,CLEAR,
TC1226,TC1226: Paths = P4163 P4162 P4074 P4136,null,CLEAR,
TC1227,TC1227: Paths = P4141,null,CLEAR,
TC1228,TC1228: Paths = P4165 P4164 P4140,null,CLEAR,
TC1229,TC1229: Paths = P4120 P4144,null,CLEAR,
TC1230,TC1230: Paths = P4166 P4167 P4076 P4176 P5318 P5296,null,CLEAR,
TC1231,TC1231: Paths = P4121 P4145,null,CLEAR,
TC1232,TC1232: Paths = P4169 P4168 P4142,null,CLEAR,
TC1233,TC1233: Paths = P4174,null,CLEAR,
TC1234,TC1234: Paths = P4133 P4154 P4153 P4185 P4184,null,CLEAR,
TC1235,TC1235: Paths = P4146 P4175 P5317 P5299 P5327 P5328,null,CLEAR,
TC1236,TC1236: Paths = P4155 P4173,null,CLEAR,
TC1237,TC1237: Paths = P4389,null,CLEAR,
TC1238,TC1238: Paths = P4224 P4387,null,CLEAR,
TC1239,TC1239: Paths = P4196 P4197 P4215 P4216,null,CLEAR,
TC1240,TC1240: Paths = P4358 P4359,null,CLEAR,
TC1241,TC1241: Paths = P4206,null,CLEAR,
TC1242,TC1242: Paths = P4229 P4300,null,CLEAR,
TC1243,TC1243: Paths = P4205 P4212 P4217 P4218 P4207,null,CLEAR,
TC1244,TC1244: Paths = P4230 P4301,null,CLEAR,
TC1245,TC1245: Paths = P4213 P4214 P4195 P4208,null,CLEAR,
TC1246,TC1246: Paths = P4210,null,CLEAR,
TC1247,TC1247: Paths = P4209 P4225 P4226 P4211,null,CLEAR,
TC1248,TC1248: Paths = P4227 P4302,null,CLEAR,
TC1249,TC1249: Paths = P4219 P4220 P4221,null,CLEAR,
TC1250,TC1250: Paths = P4228 P4303,null,CLEAR,
TC1251,TC1251: Paths = P4222 P4223 P4190 P4388,null,CLEAR,
TC1252,TC1252: Paths = P4386,null,CLEAR,
TC1253,TC1253: Paths = P4232 P4231 P4186 P4327 P5315 P5292 P5290,null,CLEAR,
TC1254,TC1254: Paths = P4233 P4234 P4248 P4249 P4244,null,CLEAR,
TC1255,TC1255: Paths = P4236 P4235 P4191 P4285 P4284,null,CLEAR,
TC1256,TC1256: Paths = P4237 P4238 P4242 P4243 P4239,null,CLEAR,
TC1257,TC1257: Paths = P4240 P4241 P4192 P4250,null,CLEAR,
TC1258,TC1258: Paths = P4245 P4246 P4247 P4251,null,CLEAR,
TC1259,TC1259: Paths = P4366 P4367,null,CLEAR,
TC1260,TC1260: Paths = P4279 P4288,null,CLEAR,
TC1261,TC1261: Paths = P4286,null,CLEAR,
TC1262,TC1262: Paths = P4252,null,CLEAR,
TC1263,TC1263: Paths = P4280 P4289,null,CLEAR,
TC1264,TC1264: Paths = P4291,null,CLEAR,
TC1265,TC1265: Paths = P4256 P4257,null,CLEAR,
TC1266,TC1266: Paths = P4281 P4292,null,CLEAR,
TC1267,TC1267: Paths = P4253 P4290,null,CLEAR,
TC1268,TC1268: Paths = P4282 P4342 P4343 P4273 P4306,null,CLEAR,
TC1269,TC1269: Paths = P4263 P4260 P4259,null,CLEAR,
TC1270,TC1270: Paths = P4264 P4268,null,CLEAR,
TC1271,TC1271: Paths = P4278 P4299,null,CLEAR,
TC1272,TC1272: Paths = P4266 P4294,null,CLEAR,
TC1273,TC1273: Paths = P4267,null,CLEAR,
TC1274,TC1274: Paths = P4277 P4295,null,CLEAR,
TC1275,TC1275: Paths = P4274 P4275 P4276,null,CLEAR,
TC1276,TC1276: Paths = P4383 P4203,null,CLEAR,
TC1277,TC1277: Paths = P4304,null,CLEAR,
TC1278,TC1278: Paths = P4345 P4344,null,CLEAR,
TC1279,TC1279: Paths = P4368 P4369,null,CLEAR,
TC1280,TC1280: Paths = P4271,null,CLEAR,
TC1281,TC1281: Paths = P4375,null,CLEAR,
TC1282,TC1282: Paths = P4330 P4331,null,CLEAR,
TC1283,TC1283: Paths = P4376,null,CLEAR,
TC1284,TC1284: Paths = P4270,null,CLEAR,
TC1285,TC1285: Paths = P4334 P4355 P4354,null,CLEAR,
TC1286,TC1286: Paths = P4333 P4332,null,CLEAR,
TC1287,TC1287: Paths = P4377,null,CLEAR,
TC1288,TC1288: Paths = P4374,null,CLEAR,
TC1289,TC1289: Paths = P4329 P4348 P4349,null,CLEAR,
TC1290,TC1290: Paths = P4283 P4328 P5316 P5300 P5326 P5325,null,CLEAR,
TC1291,TC1291: Paths = P4287 P4187 P4261 P4262 P4258,null,CLEAR,
TC1292,TC1292: Paths = P4293 P4265 P4297 P4298 P4385,null,CLEAR,
TC1293,TC1293: Paths = P4340 P4339 P4318,null,CLEAR,
TC1294,TC1294: Paths = P4296 P4193 P4255 P4254,null,CLEAR,
TC1295,TC1295: Paths = P4305 P4313,null,CLEAR,
TC1296,TC1296: Paths = P4356 P4357 P4338,null,CLEAR,
TC1297,TC1297: Paths = P4312,null,CLEAR,
TC1298,TC1298: Paths = P4362,null,CLEAR,
TC1299,TC1299: Paths = P4314,null,CLEAR,
TC1300,TC1300: Paths = P4372,null,CLEAR,
TC1301,TC1301: Paths = P4307,null,CLEAR,
TC1302,TC1302: Paths = P4308 P4310,null,CLEAR,
TC1303,TC1303: Paths = P4352 P4353 P4335,null,CLEAR,
TC1304,TC1304: Paths = P4309,null,CLEAR,
TC1305,TC1305: Paths = P4361,null,CLEAR,
TC1306,TC1306: Paths = P4311,null,CLEAR,
TC1307,TC1307: Paths = P4365,null,CLEAR,
TC1308,TC1308: Paths = P4324,null,CLEAR,
TC1309,TC1309: Paths = P4360,null,CLEAR,
TC1310,TC1310: Paths = P4316,null,CLEAR,
TC1311,TC1311: Paths = P4317 P4326,null,CLEAR,
TC1312,TC1312: Paths = P4351 P4350 P4336,null,CLEAR,
TC1313,TC1313: Paths = P4315 P4272 P4341 P4384,null,CLEAR,
TC1314,TC1314: Paths = P4325,null,CLEAR,
TC1315,TC1315: Paths = P4364,null,CLEAR,
TC1316,TC1316: Paths = P4337 P4346 P4347,null,CLEAR,
TC1317,TC1317: Paths = P4363,null,CLEAR,
TC1318,TC1318: Paths = P4319 P4323,null,CLEAR,
TC1319,TC1319: Paths = P4320,null,CLEAR,
TC1320,TC1320: Paths = P4321,null,CLEAR,
TC1321,TC1321: Paths = P4371 P4370,null,CLEAR,
TC1322,TC1322: Paths = P4322,null,CLEAR,
TC1323,TC1323: Paths = P4373,null,CLEAR,
TC1324,TC1324: Paths = P4401 P4409,null,CLEAR,
TC1325,TC1325: Paths = P4427,null,CLEAR,
TC1326,TC1326: Paths = P4429 P4430,null,CLEAR,
TC1327,TC1327: Paths = P4402 P4407,null,CLEAR,
TC1328,TC1328: Paths = P4420 P4421 P4395 P4414,null,CLEAR,
TC1329,TC1329: Paths = P4431 P4493 P4418 P4419 P4415 P4417,null,CLEAR,
TC1330,TC1330: Paths = P4404 P4403 P4408,null,CLEAR,
TC1331,TC1331: Paths = P4410 P4411 P4412,null,CLEAR,
TC1332,TC1332: Paths = P4482 P4481,null,CLEAR,
TC1333,TC1333: Paths = P4405 P4396 P4400 P4399 P10720 P10724,null,CLEAR,
TC1334,TC1334: Paths = P4406,null,CLEAR,
TC1335,TC1335: Paths = P4432 P4433 P4434,null,CLEAR,
TC1336,TC1336: Paths = P4487 P4488 P4460 P4453 P4454 P4456 P4472 P4475 P6949 P6971 P6972 P6952 P6969,null,CLEAR,
TC1337,TC1337: Paths = P4416 P4425,null,CLEAR,
TC1338,TC1338: Paths = P4440 P4469 P4465 P4468 P4467 P4466 P4470 P4477,null,CLEAR,
TC1339,TC1339: Paths = P4436 P4461 P4455 P4457 P4459 P4445,null,CLEAR,
TC1340,TC1340: Paths = P4424 P4423 P4422 P4426,null,CLEAR,
TC1341,TC1341: Paths = P4491 P4492 P4435 P4439,null,CLEAR,
TC1342,TC1342: Paths = P4428 P4394 P4413 P4437 P4462 P4458 P4451 P4452 P4471 P4474,null,CLEAR,
TC1343,TC1343: Paths = P4438 P4464 P4463,null,CLEAR,
TC1344,TC1344: Paths = P4478 P4479,null,CLEAR,
TC1345,TC1345: Paths = P4441 P4473 P4476 P6950 P6929 P6930 P6922 P6927,null,CLEAR,
TC1346,TC1346: Paths = P4489 P4490 P4450 P4443 P4444 P4446 P4447 P4442,null,CLEAR,
TC1347,TC1347: Paths = P4480,null,CLEAR,
TC1348,TC1348: Paths = P4485 P4486 P2470 P2376 P2374 P2375 P2372 P2373 P2377 P2378 P4577 P4578 P4579,null,CLEAR,
TC1349,TC1349: Paths = P4483 P4484 P6948 P6953 P6954 P6951 P6955 P6956 P6943 P6977 P6978 P6958 P6960 P6961 P6975,null,CLEAR,
TC1350,TC1350: Paths = P4398 P4397 P10718 P10729 P19740 P19739 P10717 P10728 P10727 P10722 P12731,null,CLEAR,
TC1351,TC1351: Paths = P4494,null,CLEAR,
TC1352,TC1352: Paths = P4501,null,CLEAR,
TC1353,TC1353: Paths = P4533,null,CLEAR,
TC1354,TC1354: Paths = P4526 P4570 P4539 P4538 P4541 P4540,null,CLEAR,
TC1355,TC1355: Paths = P4495 P4498 P4593 P4594,null,CLEAR,
TC1356,TC1356: Paths = P4527 P4571 P4537 P4543 P4542,null,CLEAR,
TC1357,TC1357: Paths = P4499 P4511,null,CLEAR,
TC1358,TC1358: Paths = P4523,null,CLEAR,
TC1359,TC1359: Paths = P4592 P4591 P4502,null,CLEAR,
TC1360,TC1360: Paths = P4500 P4522,null,CLEAR,
TC1361,TC1361: Paths = P4506,null,CLEAR,
TC1362,TC1362: Paths = P4516,null,CLEAR,
TC1363,TC1363: Paths = P4518 P4517,null,CLEAR,
TC1364,TC1364: Paths = P4510 P4514,null,CLEAR,
TC1365,TC1365: Paths = P4512,null,CLEAR,
TC1366,TC1366: Paths = P4524,null,CLEAR,
TC1367,TC1367: Paths = P4505 P4504 P4515,null,CLEAR,
TC1368,TC1368: Paths = P4507 P4497,null,CLEAR,
TC1369,TC1369: Paths = P4508 P4509 P4531,null,CLEAR,
TC1370,TC1370: Paths = P4532,null,CLEAR,
TC1371,TC1371: Paths = P4521,null,CLEAR,
TC1372,TC1372: Paths = P4520 P4519,null,CLEAR,
TC1373,TC1373: Paths = P4525 P4576 P4575,null,CLEAR,
TC1374,TC1374: Paths = P4560,null,CLEAR,
TC1375,TC1375: Paths = P4544,null,CLEAR,
TC1376,TC1376: Paths = P4549 P4565,null,CLEAR,
TC1377,TC1377: Paths = P4563,null,CLEAR,
TC1378,TC1378: Paths = P4545,null,CLEAR,
TC1379,TC1379: Paths = P4548 P4561,null,CLEAR,
TC1380,TC1380: Paths = P4559,null,CLEAR,
TC1381,TC1381: Paths = P4553 P4555,null,CLEAR,
TC1382,TC1382: Paths = P4562,null,CLEAR,
TC1383,TC1383: Paths = P4567,null,CLEAR,
TC1384,TC1384: Paths = P4546 P4569,null,CLEAR,
TC1385,TC1385: Paths = P4558,null,CLEAR,
TC1386,TC1386: Paths = P4547 P4556,null,CLEAR,
TC1387,TC1387: Paths = P4550 P4573 P4587 P4585 P4582 P4581,null,CLEAR,
TC1388,TC1388: Paths = P4554,null,CLEAR,
TC1389,TC1389: Paths = P4568,null,CLEAR,
TC1390,TC1390: Paths = P4557 P4552 P4551 P4574 P4588 P4586 P4584 P4583,null,CLEAR,
TC1391,TC1391: Paths = P4564,null,CLEAR,
TC1392,TC1392: Paths = P4566 P4572 P4534 P4536 P4535 P4580,null,CLEAR,
TC1393,TC1393: Paths = P4610,null,CLEAR,
TC1394,TC1394: Paths = P4612 P4613 P4595,null,CLEAR,
TC1395,TC1395: Paths = P4639 P4640,null,CLEAR,
TC1396,TC1396: Paths = P4597 P4596 P4763,null,CLEAR,
TC1397,TC1397: Paths = P4730 P4733 P4734,null,CLEAR,
TC1398,TC1398: Paths = P4609 P4777,null,CLEAR,
TC1399,TC1399: Paths = P4770 P4771 P4691 P4731 P4735 P4736,null,CLEAR,
TC1400,TC1400: Paths = P4602 P4603 P4695,null,CLEAR,
TC1401,TC1401: Paths = P4694,null,CLEAR,
TC1402,TC1402: Paths = P4698,null,CLEAR,
TC1403,TC1403: Paths = P4598 P4704,null,CLEAR,
TC1404,TC1404: Paths = P4599,null,CLEAR,
TC1405,TC1405: Paths = P4601 P4635 P4634,null,CLEAR,
TC1406,TC1406: Paths = P4600 P4637 P4636,null,CLEAR,
TC1407,TC1407: Paths = P4628 P4627 P4626,null,CLEAR,
TC1408,TC1408: Paths = P4607,null,CLEAR,
TC1409,TC1409: Paths = P4632,null,CLEAR,
TC1410,TC1410: Paths = P4608,null,CLEAR,
TC1411,TC1411: Paths = P4633,null,CLEAR,
TC1412,TC1412: Paths = P4604,null,CLEAR,
TC1413,TC1413: Paths = P4605 P4699,null,CLEAR,
TC1414,TC1414: Paths = P4745,null,CLEAR,
TC1415,TC1415: Paths = P4606 P4697,null,CLEAR,
TC1416,TC1416: Paths = P4773 P4772,null,CLEAR,
TC1417,TC1417: Paths = P4696,null,CLEAR,
TC1418,TC1418: Paths = P4774 P4775,null,CLEAR,
TC1419,TC1419: Paths = P4779,null,CLEAR,
TC1420,TC1420: Paths = P4766 P4611 P4756,null,CLEAR,
TC1421,TC1421: Paths = P4753,null,CLEAR,
TC1422,TC1422: Paths = P4617 P4618 P4619,null,CLEAR,
TC1423,TC1423: Paths = P4620 P4749 P4683 P4682 P4661 P4672 P4663 P4664,null,CLEAR,
TC1424,TC1424: Paths = P4643 P4750,null,CLEAR,
TC1425,TC1425: Paths = P4616 P4614 P4684 P4681,null,CLEAR,
TC1426,TC1426: Paths = P4642 P4621 P4746,null,CLEAR,
TC1427,TC1427: Paths = P4622 P4641 P4747,null,CLEAR,
TC1428,TC1428: Paths = P4623 P4752,null,CLEAR,
TC1429,TC1429: Paths = P4625 P4657 P4658,null,CLEAR,
TC1430,TC1430: Paths = P4666 P4677 P4726 P4671,null,CLEAR,
TC1431,TC1431: Paths = P4638 P4708 P4709 P4705,null,CLEAR,
TC1432,TC1432: Paths = P4744,null,CLEAR,
TC1433,TC1433: Paths = P4651 P4648,null,CLEAR,
TC1434,TC1434: Paths = P4652 P4656 P4655 P4631 P4727,null,CLEAR,
TC1435,TC1435: Paths = P4654,null,CLEAR,
TC1436,TC1436: Paths = P4653 P4660 P4659 P4670 P4669 P4650,null,CLEAR,
TC1437,TC1437: Paths = P4662,null,CLEAR,
TC1438,TC1438: Paths = P4720 P4719 P4692,null,CLEAR,
TC1439,TC1439: Paths = P4667,null,CLEAR,
TC1440,TC1440: Paths = P4665,null,CLEAR,
TC1441,TC1441: Paths = P4668 P4716 P4728 P4729,null,CLEAR,
TC1442,TC1442: Paths = P4706,null,CLEAR,
TC1443,TC1443: Paths = P4673 P4676,null,CLEAR,
TC1444,TC1444: Paths = P4674 P4739,null,CLEAR,
TC1445,TC1445: Paths = P4675 P4741,null,CLEAR,
TC1446,TC1446: Paths = P4678 P4714 P4715 P4713,null,CLEAR,
TC1447,TC1447: Paths = P4680 P4702,null,CLEAR,
TC1448,TC1448: Paths = P4707,null,CLEAR,
TC1449,TC1449: Paths = P4679 P4630 P4710 P4712 P4711,null,CLEAR,
TC1450,TC1450: Paths = P4687,null,CLEAR,
TC1451,TC1451: Paths = P4738 P4689,null,CLEAR,
TC1452,TC1452: Paths = P4732 P4737,null,CLEAR,
TC1453,TC1453: Paths = P4688 P4721,null,CLEAR,
TC1454,TC1454: Paths = P4690,null,CLEAR,
TC1455,TC1455: Paths = P4693,null,CLEAR,
TC1456,TC1456: Paths = P4703 P4717 P4718,null,CLEAR,
TC1457,TC1457: Paths = P4740,null,CLEAR,
TC1458,TC1458: Paths = P4742,null,CLEAR,
TC1459,TC1459: Paths = P4701,null,CLEAR,
TC1460,TC1460: Paths = P4700,null,CLEAR,
TC1461,TC1461: Paths = P4743,null,CLEAR,
TC1462,TC1462: Paths = P4748,null,CLEAR,
TC1463,TC1463: Paths = P4754 P4769 P4615 P4751,null,CLEAR,
TC1464,TC1464: Paths = P4755 P4760 P4765 P4764 P9003,null,CLEAR,
TC1465,TC1465: Paths = P4757 P4759 P4758 P4762 P4761 P9005,null,CLEAR,
TC1466,TC1466: Paths = P4767 P4768,null,CLEAR,
TC1467,TC1467: Paths = P4647 P4645 P4725 P4724 P8949 P8004 P8939 P8941,null,CLEAR,
TC1468,TC1468: Paths = P4649 P4646 P4644 P4723 P4722 P8948 P8947 P8946,null,CLEAR,
TC1469,TC1469: Paths = P4776 P4624 P8967 P8966 P8964,null,CLEAR,
TC1470,TC1470: Paths = P4778 P4629 P4686 P4685 P8965 P8972 P8971,null,CLEAR,
TC1471,TC1471: Paths = P4780 P4781 P5018 P4782 P5016 P5022 P5025 P5026 P4783 P4784 P5017 P5023 P5024 P4785 P4786 P4787 P4788,null,CLEAR,
