Track circuit,Description,ID,State,Last locked for Route
TC104,TC104: Paths = P256 P277,null,CLEAR,
TC105,TC105: Paths = P292 P294,null,CLEAR,
TC106,TC106: Paths = P347 P393 P257,null,CLEAR,
TC107,TC107: Paths = P392 P346 P262 P263 P261 P398,null,CLEAR,
TC108,TC108: Paths = P264 P270 P307,null,CLEAR,
TC109,TC109: Paths = P282 P7037,null,CLEAR,
TC110,TC110: Paths = P267 P266 P309,null,CLEAR,
TC111,TC111: Paths = P283 P7640 P7641 P6999 P7059 P7060 P7051 P7052 P7057,null,CLEAR,
TC112,TC112: Paths = P265 P308,null,CLEAR,
TC113,TC113: Paths = P269 P268,null,CLEAR,
TC114,TC114: Paths = P382 P383,null,CLEAR,
TC115,TC115: Paths = P273 P306,null,CLEAR,
TC116,TC116: Paths = P304,null,CLEAR,
TC117,TC117: Paths = P272 P301,null,CLEAR,
TC118,TC118: Paths = P300,null,CLEAR,
TC119,TC119: Paths = P332,null,CLEAR,
TC120,TC120: Paths = P276 P337,null,CLEAR,
TC121,TC121: Paths = P284,null,CLEAR,
TC122,TC122: Paths = P315,null,CLEAR,
TC123,TC123: Paths = P274 P278,null,CLEAR,
TC124,TC124: Paths = P275 P298,null,CLEAR,
TC125,TC125: Paths = P296,null,CLEAR,
TC126,TC126: Paths = P279 P295,null,CLEAR,
TC127,TC127: Paths = P280 P2379 P2421 P2491 P2490 P2487 P2486 P4530 P4496 P4513,null,CLEAR,
TC128,TC128: Paths = P388 P389 P354 P358 P359 P291 P290,null,CLEAR,
TC129,TC129: Paths = P293 P299,null,CLEAR,
TC130,TC130: Paths = P286,null,CLEAR,
TC131,TC131: Paths = P289 P2485 P2484,null,CLEAR,
TC132,TC132: Paths = P379 P378,null,CLEAR,
TC133,TC133: Paths = P288,null,CLEAR,
TC134,TC134: Paths = P381 P380,null,CLEAR,
TC135,TC135: Paths = P312,null,CLEAR,
TC136,TC136: Paths = P368 P397 P287,null,CLEAR,
TC137,TC137: Paths = P357 P356 P353 P387 P386 P2420 P2493 P2492 P2489 P2488 P2469 P4528,null,CLEAR,
TC138,TC138: Paths = P297 P303,null,CLEAR,
TC139,TC139: Paths = P336,null,CLEAR,
TC140,TC140: Paths = P361 P360 P355 P285 P339,null,CLEAR,
TC141,TC141: Paths = P305,null,CLEAR,
TC142,TC142: Paths = P302 P271 P281 P7571 P7572,null,CLEAR,
TC143,TC143: Paths = P310 P2481 P2480,null,CLEAR,
TC144,TC144: Paths = P311 P2483 P2482,null,CLEAR,
TC145,TC145: Paths = P313,null,CLEAR,
TC146,TC146: Paths = P338,null,CLEAR,
TC147,TC147: Paths = P314,null,CLEAR,
TC148,TC148: Paths = P340 P384 P385 P362 P363 P316,null,CLEAR,
TC149,TC149: Paths = P331,null,CLEAR,
TC150,TC150: Paths = P390 P391 P333,null,CLEAR,
TC151,TC151: Paths = P317,null,CLEAR,
TC152,TC152: Paths = P370 P369,null,CLEAR,
TC153,TC153: Paths = P372 P371,null,CLEAR,
TC154,TC154: Paths = P334,null,CLEAR,
TC155,TC155: Paths = P318,null,CLEAR,
TC156,TC156: Paths = P319,null,CLEAR,
TC157,TC157: Paths = P364,null,CLEAR,
TC158,TC158: Paths = P366,null,CLEAR,
TC159,TC159: Paths = P320,null,CLEAR,
TC160,TC160: Paths = P321 P327,null,CLEAR,
TC161,TC161: Paths = P325,null,CLEAR,
TC162,TC162: Paths = P329,null,CLEAR,
TC163,TC163: Paths = P322 P341 P348,null,CLEAR,
TC164,TC164: Paths = P367,null,CLEAR,
TC165,TC165: Paths = P323 P365,null,CLEAR,
TC166,TC166: Paths = P324 P342 P349,null,CLEAR,
TC167,TC167: Paths = P326 P345 P352,null,CLEAR,
TC168,TC168: Paths = P328 P344 P351,null,CLEAR,
TC169,TC169: Paths = P330 P343 P350,null,CLEAR,
TC170,TC170: Paths = P335,null,CLEAR,
TC171,TC171: Paths = P377 P7603 P7566,null,CLEAR,
TC172,TC172: Paths = P376 P7602 P7565,null,CLEAR,
TC173,TC173: Paths = P375 P7601 P7569 P7570,null,CLEAR,
TC174,TC174: Paths = P374 P7600 P7567 P7568,null,CLEAR,
TC175,TC175: Paths = P373,null,CLEAR,
TC176,TC176: Paths = P255 P254 P6944 P7024 P7639 P7638 P6965 P6964 P6980 P6979 P6976,null,CLEAR,
TC177,TC177: Paths = P396 P395 P2477 P2476 P2400,null,CLEAR,
TC178,TC178: Paths = P409,null,CLEAR,
TC179,TC179: Paths = P623,null,CLEAR,
TC180,TC180: Paths = P1144 P1143,null,CLEAR,
