Route,Class,Signals,Points,Track circuits,Overlaps,O/L Rel. Berth,O/L Rel. Time,State,Set time,Clear time,Approach lock,Opp.Routes,Last set for train
R426,MAIN,N1231,N1293 NORMAL,TC379, TC378,,,0,UNSET,1,1,120,,
R427,MAIN,N1304,N1241 NORMAL,TC383, TC384,,,0,UNSET,1,1,120,,
R428,MAIN,N1286,N1259 NORMAL, N1257 NORMAL,TC397, TC394, TC393, TC392, TC377,,,0,UNSET,1,1,120,,
R429,MAIN,N1285,N1246 REVERSE, N1259 REVERSE, N1257 NORMAL,TC388, TC389, TC396, TC395, TC393, TC392, TC377,,,0,UNSET,1,1,120,,
R430,MAIN,N1285,N1246 REVERSE, N1259 REVERSE, N1257 REVERSE,TC388, TC389, TC396, TC395, TC393, TC392, TC382,,,0,UNSET,1,1,120,,
R431,MAIN,N1286,N1259 NORMAL, N1257 REVERSE,TC397, TC394, TC393, TC392, TC382,,,0,UNSET,1,1,120,,
R432,MAIN,N1305,N1257 NORMAL,TC377, TC392,,,0,UNSET,1,1,120,,
R1421,MAIN,N3663,N3659 NORMAL,TC1144, TC1140,,,0,UNSET,1,1,120,,
R1422,MAIN,N3684,,TC1146,,,0,UNSET,1,1,120,,
R1423,MAIN,N3755,,TC1147,,,0,UNSET,1,1,120,,
R1424,MAIN,N3646,N3660 NORMAL,TC1141, TC1145,,,0,UNSET,1,1,120,,
R1425,MAIN,N3782,N3777 NORMAL, N3758 NORMAL,TC1154, TC1150, TC1148,,,0,UNSET,1,1,120,,
R1426,MAIN,N3781,N3778 REVERSE, N3777 REVERSE, N3758 NORMAL,TC1155, TC1153, TC1150, TC1148,,,0,UNSET,1,1,120,,
R1427,MAIN,N3755,N3758 REVERSE,TC1148, TC1149,,,0,UNSET,1,1,120,,
R1428,MAIN,N3759,N3758 REVERSE,TC1149, TC1148,,,0,UNSET,1,1,120,,
R1429,MAIN,N3773,N3778 NORMAL,TC1152, TC1155, TC1156,,,0,UNSET,1,1,120,,
R1430,MAIN,N3840,,TC1156,,,0,UNSET,1,1,120,,
R1431,MAIN,N3847,,TC1157,,,0,UNSET,1,1,120,,
R1432,MAIN,N3909,,TC1159,,,0,UNSET,1,1,120,,
R1433,MAIN,N3840,,TC1158,,,0,UNSET,1,1,120,,
